object_type,object_name,defining_migrations,last_defined_in,rls,forced_rls,policy_count,security_definer,pinned_search_path,security_invoker,grants,revokes,audit_note
"function","add_public_event_to_calendar","1","20260203000002_public_events.sql","","","0","SECURITY DEFINER","public","","EXECUTE->authenticated","",""
"function","add_sample_class_times","1","20260108140000_add_event_date_columns.sql","","","0","SECURITY DEFINER","","","","","SECURITY DEFINER without pinned search_path in this definition"
"function","audit_trigger","1","20260129000000_add_audit_logging.sql","","","0","SECURITY DEFINER","","","","","SECURITY DEFINER without pinned search_path in this definition"
"function","award_xp","5","20260729110000_harden_definer_guards_and_drop_permissive_policies.sql","","","0","SECURITY DEFINER","public","","EXECUTE->authenticated | EXECUTE->service_role","ALL<-PUBLIC | EXECUTE<-anon",""
"function","calculate_level","3","20260124000000_complete_schema_initialization.sql","","","0","SECURITY DEFINER","public","","EXECUTE->authenticated","",""
"function","cleanup_expired_email_verifications","1","20260213000000_email_verifications.sql","","","0","SECURITY DEFINER","''","","EXECUTE->service_role","ALL<-PUBLIC | ALL<-anon | ALL<-authenticated",""
"function","cleanup_expired_password_resets","1","20260216193000_password_resets.sql","","","0","SECURITY DEFINER","''","","EXECUTE->service_role","ALL<-PUBLIC | ALL<-anon | ALL<-authenticated",""
"function","cleanup_expired_rate_limits","1","20260217093000_rate_limits.sql","","","0","SECURITY DEFINER","public","","execute->service_role","all<-public",""
"function","cleanup_expired_webauthn_challenges","1","20260207000000_add_webauthn_tables.sql","","","0","SECURITY DEFINER","","","","","SECURITY DEFINER without pinned search_path in this definition"
"function","cleanup_old_audit_logs","1","20260129000000_add_audit_logging.sql","","","0","SECURITY DEFINER","public","","","",""
"function","clear_user_data","2","20260216090000_harden_security_functions.sql","","","0","SECURITY DEFINER","public","","EXECUTE->authenticated","EXECUTE<-PUBLIC",""
"function","create_unit_with_schedule","3","20260216090000_harden_security_functions.sql","","","0","SECURITY DEFINER","public","","EXECUTE->authenticated","EXECUTE<-PUBLIC",""
"function","create_user_profile","5","20260730160000_fix_student_id_function_residue.sql","","","0","SECURITY DEFINER","'public'","","EXECUTE->authenticated | EXECUTE->authenticated, service_role","EXECUTE<-PUBLIC | ALL<-PUBLIC | ALL<-anon",""
"function","ensure_my_gamification_profile","1","20260729090300_fix_gamification_and_schedule_tampering.sql","","","0","SECURITY DEFINER","public","","EXECUTE->authenticated | EXECUTE->service_role","ALL<-PUBLIC | EXECUTE<-anon",""
"function","ensure_user_profile","3","20260729110000_harden_definer_guards_and_drop_permissive_policies.sql","","","0","SECURITY DEFINER","public","","EXECUTE->authenticated | EXECUTE->service_role","ALL<-PUBLIC | EXECUTE<-anon",""
"function","get_my_activity_summary","1","20260729090100_lock_down_materialized_views.sql","","","0","SECURITY DEFINER","public","","EXECUTE->authenticated","ALL<-PUBLIC | EXECUTE<-anon",""
"function","get_my_audit_logs","1","20260214001000_align_code_db_objects.sql","","","0","SECURITY DEFINER","public","","EXECUTE->authenticated | EXECUTE->service_role","",""
"function","get_my_deadline_analytics","1","20260729090100_lock_down_materialized_views.sql","","","0","SECURITY DEFINER","public","","EXECUTE->authenticated","ALL<-PUBLIC | EXECUTE<-anon",""
"function","get_my_profile","6","20260730160000_fix_student_id_function_residue.sql","","","0","SECURITY DEFINER","'public'","","EXECUTE->authenticated | EXECUTE->authenticated, service_role","ALL<-PUBLIC | ALL<-anon",""
"function","get_xp_leaderboard","1","20260729090100_lock_down_materialized_views.sql","","","0","SECURITY DEFINER","public","","EXECUTE->authenticated","ALL<-PUBLIC | EXECUTE<-anon",""
"function","handle_new_user","3","20260314_auto_create_profile_trigger.sql","","","0","SECURITY DEFINER","''","","","",""
"function","handle_new_user_gamification","1","20260109012944_fix_auth_trigger_for_new_users.sql","","","0","SECURITY DEFINER","","","","","SECURITY DEFINER without pinned search_path in this definition"
"function","handle_new_user_profile","1","20260108140000_add_event_date_columns.sql","","","0","SECURITY DEFINER","","","","","SECURITY DEFINER without pinned search_path in this definition"
"function","handle_new_user_safe","2","20260114011650_fix_schema_comprehensive.sql","","","0","SECURITY DEFINER","public","","EXECUTE->service_role","",""
"function","log_audit","3","20260729120000_harden_remaining_definer_guards.sql","","","0","SECURITY DEFINER","public","","EXECUTE->authenticated | EXECUTE->service_role","EXECUTE<-anon | EXECUTE<-PUBLIC",""
"function","lookup_user_by_email","1","20260208000000_security_audit_fixes.sql","","","0","SECURITY DEFINER","''","","EXECUTE->service_role","ALL<-PUBLIC | ALL<-anon | ALL<-authenticated",""
"function","on_deadline_completed","3","20260114014506_schema_cleanup_and_normalization.sql","","","0","SECURITY DEFINER","public","","","",""
"function","on_unit_created","2","20260114011650_fix_schema_comprehensive.sql","","","0","SECURITY DEFINER","public","","","",""
"function","prevent_schedule_member_reassignment","1","20260729090300_fix_gamification_and_schedule_tampering.sql","","","0","SECURITY DEFINER","public","","","",""
"function","protect_profile_fields","3","20260304200000_fix_profile_protection_trigger.sql","","","0","SECURITY DEFINER","","","","","SECURITY DEFINER without pinned search_path in this definition"
"function","purge_deleted_records","1","20260114013519_add_soft_deletes_constraints_seeds.sql","","","0","SECURITY DEFINER","","","EXECUTE->service_role","EXECUTE<-PUBLIC","SECURITY DEFINER without pinned search_path in this definition"
"function","ratelimit_get","1","20260217093000_rate_limits.sql","","","0","SECURITY DEFINER","public","","execute->service_role","all<-public",""
"function","ratelimit_increment","1","20260217093000_rate_limits.sql","","","0","SECURITY DEFINER","public","","execute->service_role","all<-public",""
"function","ratelimit_set","1","20260217093000_rate_limits.sql","","","0","SECURITY DEFINER","public","","execute->service_role","all<-public",""
"function","refresh_analytics_views","1","20260114013519_add_soft_deletes_constraints_seeds.sql","","","0","SECURITY DEFINER","","","EXECUTE->service_role","EXECUTE<-PUBLIC","SECURITY DEFINER without pinned search_path in this definition"
"function","restore_deleted","2","20260216090000_harden_security_functions.sql","","","0","SECURITY DEFINER","public","","EXECUTE->authenticated","EXECUTE<-PUBLIC",""
"function","seed_demo_class_times","2","20260216090000_harden_security_functions.sql","","","0","SECURITY DEFINER","public","","EXECUTE->service_role","EXECUTE<-PUBLIC | EXECUTE<-authenticated",""
"function","seed_demo_data_for_user","2","20260216090000_harden_security_functions.sql","","","0","SECURITY DEFINER","public","","EXECUTE->authenticated","EXECUTE<-PUBLIC",""
"function","seed_demo_deadlines","2","20260216090000_harden_security_functions.sql","","","0","SECURITY DEFINER","public","","EXECUTE->service_role","EXECUTE<-PUBLIC | EXECUTE<-authenticated",""
"function","seed_demo_events","1","20260114013519_add_soft_deletes_constraints_seeds.sql","","","0","SECURITY DEFINER","","","EXECUTE->service_role","EXECUTE<-PUBLIC | EXECUTE<-authenticated","SECURITY DEFINER without pinned search_path in this definition"
