host,callers,caller_files,has_timeout_or_abort,has_try_catch,notes
"accounts.google.com","1","lib/security/csp.ts","NO","yes",""
"api.open-meteo.com","1","lib/weather/providers/openMeteoProvider.ts","NO","NO",""
"api.openrouteservice.org","1","app/api/navigate/route.ts","yes","yes",""
"api.pwnedpasswords.com","1","lib/security/password-breach.ts","NO","yes",""
"docs.sentry.io","3","config/sentry/sentry.client.config.ts config/sentry/sentry.edge.config.ts config/sentry/sentry.server.config.ts","NO","NO",""
"facebook.com","1","lib/config.ts","NO","NO",""
"fonts.googleapis.com","2","lib/security/csp.ts lib/security/sri-enhanced.ts","NO","yes",""
"fonts.gstatic.com","1","lib/security/csp.ts","NO","yes",""
"giscience.github.io","1","features/map/lib/realtimeNavigation.ts","NO","NO",""
"github.com","4","features/map/components/MapClient.tsx lib/security/ip-anomaly-detection.ts tools/security/check-sharp-risk.mjs tools/security/check-sharp-risk.test.mjs","yes","yes",""
"instagram.com","1","lib/config.ts","NO","NO",""
"linkedin.com","1","lib/config.ts","NO","NO",""
"maps.apple.com","1","features/map/lib/navigationHelpers.ts","NO","NO",""
"maps.google.com","1","lib/security/csp.ts","NO","yes",""
"maps.googleapis.com","3","lib/maps/google/loader.ts lib/security/csp.ts lib/security/csrf.ts","NO","yes",""
"maps.gstatic.com","1","lib/security/csp.ts","NO","yes",""
"mirror.invalid","1","tools/security/check-sharp-risk.test.mjs","NO","yes",""
"myapp.com","1","app/api/_lib/middleware.ts","NO","yes",""
"nextjs.org","1","lib/security/csp.ts","NO","yes",""
"places.googleapis.com","3","app/api/maps/place-details/route.ts app/api/maps/place-search/route.ts lib/security/csp.ts","yes","yes",""
"r2cdn.perplexity.ai","1","lib/security/csp.ts","NO","yes",""
"registry.npmjs.org","2","tools/security/check-sharp-risk.mjs tools/security/check-sharp-risk.test.mjs","NO","yes",""
"routes.googleapis.com","2","app/api/maps/routes/route.ts lib/security/csp.ts","yes","yes",""
"students.mq.edu.au","1","features/feed/components/FeedSidebar.tsx","NO","NO",""
"supabase.com","2","lib/supabase/admin.ts lib/supabase/client.ts","yes","NO",""
"syllabus-sync.internal","1","lib/cloudflare/scheduled.ts","NO","NO",""
"syllabus-sync.vercel.app","1","app/calendar/page.tsx","NO","NO",""
"unpkg.com","1","lib/security/sri-enhanced.ts","NO","yes",""
"weather.googleapis.com","3","lib/security/csp-enhanced.ts lib/security/csp.ts lib/weather/providers/googleWeatherProvider.ts","NO","yes",""
"www.facebook.com","1","components/layout/SocialButtons.tsx","NO","NO",""
"www.google-analytics.com","1","lib/security/sri.ts","NO","NO",""
"www.google.com","4","features/map/components/GoogleRoutePanel.tsx features/map/lib/navigationHelpers.ts lib/security/csp-enhanced.ts lib/security/csp.ts","NO","yes",""
"www.instagram.com","1","components/layout/SocialButtons.tsx","NO","NO",""
"www.linkedin.com","1","components/layout/SocialButtons.tsx","NO","NO",""
"www.mq.edu.au","3","app/robots.ts app/sitemap.ts lib/config.ts","NO","NO",""
"www.npmjs.com","1","config/next/next.config.ts","NO","NO",""
"www.oaic.gov.au","1","app/privacy/privacy-client.tsx","NO","NO",""
"www.syllabus-sync.app","1","tools/deployment/check-required-env.mjs","NO","yes",""
"www.tiktok.com","1","components/layout/SocialButtons.tsx","NO","NO",""
"www.youtube.com","1","components/layout/SocialButtons.tsx","NO","NO",""
"x.com","2","components/layout/SocialButtons.tsx lib/config.ts","NO","NO",""
