route,methods,middleware,guard,limiter,zod,db_client,csrf,cron_auth,lines
"/api/admin/update-building-positions","POST|GET","deny-by-default","requireAuth","","","","via guard","","442"
"/api/audit","GET|POST","deny-by-default","requireAuthWithRateLimit","limiter","","anon/RLS","via guard","","244"
"/api/auth/biometric","GET|POST","PUBLIC-allowlist","inline getUser()","","zod","anon/RLS","","","148"
"/api/auth/email/cleanup","GET|POST","PUBLIC-allowlist","NONE","","","service-role","","CRON_SECRET","53"
"/api/auth/email/resend-verification","POST","PUBLIC-allowlist","NONE","emailVerifyResendLimiter","zod","service-role","","","94"
"/api/auth/email/send-verification","POST","PUBLIC-allowlist","inline getUser()","emailVerifySendLimiter","","anon/RLS","","","68"
"/api/auth/email/verify","POST","PUBLIC-allowlist","NONE","emailVerifyTokenLimiter","zod","service-role","","","123"
"/api/auth/mfa/challenge-verify","POST","PUBLIC-allowlist","inline getUser()","mfaVerifyLimiter","zod","anon/RLS","","","121"
"/api/auth/mfa/challenge","POST","PUBLIC-allowlist","inline getUser()","smsSendLimiter","zod","anon/RLS","","","87"
"/api/auth/mfa/enroll","POST","PUBLIC-allowlist","inline getUser()","mfaEnrollLimiter","","anon/RLS","","","137"
"/api/auth/mfa/sms/enroll","POST","PUBLIC-allowlist","inline getUser()","smsSendLimiter","zod","anon/RLS","","","124"
"/api/auth/mfa/sms/verify","POST","PUBLIC-allowlist","inline getUser()","mfaVerifyLimiter","zod","anon/RLS","","","94"
"/api/auth/mfa/status","GET","PUBLIC-allowlist","inline getUser()","","","anon/RLS","","","63"
"/api/auth/mfa/unenroll","POST","PUBLIC-allowlist","inline getUser()","mfaUnenrollLimiter","zod","anon/RLS","","","128"
"/api/auth/mfa/verify","POST","PUBLIC-allowlist","inline getUser()","mfaVerifyLimiter","zod","anon/RLS","","","119"
"/api/auth/onboarding","POST","PUBLIC-allowlist","inline getUser()","","zod","anon/RLS","","","42"
"/api/auth/passkey/options","POST","PUBLIC-allowlist","NONE","passkeyAuthLimiter","zod","service-role","","","102"
"/api/auth/passkey/register-options","POST","PUBLIC-allowlist","inline getUser()","","","anon/RLS","","","53"
"/api/auth/passkey/register","POST","PUBLIC-allowlist","inline getUser()","","","anon/RLS","","","95"
"/api/auth/passkey/status","POST","PUBLIC-allowlist","NONE","passkeyStatusLimiter","zod","service-role","","","101"
"/api/auth/passkey/verify","POST","PUBLIC-allowlist","NONE","passkeyAuthLimiter","zod","service-role","","","142"
"/api/auth/password/cleanup","GET|POST","PUBLIC-allowlist","NONE","","","service-role","","CRON_SECRET","47"
"/api/auth/password/request-reset","POST","PUBLIC-allowlist","NONE","passwordResetRequestLimiter","zod","anon/RLS","","","83"
"/api/auth/password/reset","POST","PUBLIC-allowlist","NONE","passwordResetTokenLimiter","zod","service-role","","","130"
