file,category,runtime,entry_point,external_io,env_vars,auth_context,privileged_client,cache,timeout,error_handling,tested,status,notes
"app/AuthRedirectHandler.tsx","other","client","","supabase","","","","","yes","","","reviewed",""
"app/about/about-client.tsx","other","client","","","","","","","","","","reviewed",""
"app/about/page.tsx","page","server(RSC)","yes","","","","","","","","","reviewed",""
"app/api/_lib/mappers.ts","other","shared","","","","","","","","","","reviewed",""
"app/api/_lib/middleware.ts","other","shared","","supabase","CORS_ALLOWED_ORIGINS","requireAuthWithRateLimit","","","","try/catch","","reviewed",""
"app/api/_lib/response.ts","other","shared","","","","","","","","try/catch","","reviewed",""
"app/api/_lib/versioning.ts","other","shared","","","","","","","","","","reviewed",""
"app/api/admin/update-building-positions/route.ts","api-route","worker/server","yes","","NODE_ENV ADMIN_API_ENABLED ADMIN_SECRET_TOKEN","requireAuth","","","","try/catch","","reviewed-route-matrix",""
"app/api/audit/route.ts","api-route","worker/server","yes","supabase","","requireAuthWithRateLimit","","","","try/catch","","reviewed-route-matrix",""
"app/api/auth/biometric/route.ts","api-route","worker/server","yes","supabase","","inline getUser()","","","","try/catch","","reviewed-route-matrix",""
"app/api/auth/email/cleanup/route.ts","api-route","worker/server","yes","supabase","CRON_SECRET","cron-secret","service-role","","","try/catch","","reviewed-route-matrix",""
"app/api/auth/email/resend-verification/route.ts","api-route","worker/server","yes","supabase resend","","","service-role","","","try/catch","","reviewed-route-matrix",""
"app/api/auth/email/send-verification/route.ts","api-route","worker/server","yes","supabase resend","NEXT_PUBLIC_APP_URL","inline getUser()","","","","try/catch","","reviewed-route-matrix",""
"app/api/auth/email/verify/route.ts","api-route","worker/server","yes","supabase","","","service-role","","","try/catch","","reviewed-route-matrix",""
"app/api/auth/mfa/challenge-verify/route.ts","api-route","worker/server","yes","supabase","","inline getUser()","","","","try/catch","","reviewed-route-matrix",""
"app/api/auth/mfa/challenge/route.ts","api-route","worker/server","yes","supabase resend","","inline getUser()","","","","try/catch","","reviewed-route-matrix",""
"app/api/auth/mfa/enroll/route.ts","api-route","worker/server","yes","supabase","","inline getUser()","","","","try/catch","","reviewed-route-matrix",""
"app/api/auth/mfa/sms/enroll/route.ts","api-route","worker/server","yes","supabase","","inline getUser()","","","","try/catch","","reviewed-route-matrix",""
"app/api/auth/mfa/sms/verify/route.ts","api-route","worker/server","yes","supabase","","inline getUser()","","","","try/catch","","reviewed-route-matrix",""
"app/api/auth/mfa/status/route.ts","api-route","worker/server","yes","supabase","","inline getUser()","","","","try/catch","","reviewed-route-matrix",""
"app/api/auth/mfa/unenroll/route.ts","api-route","worker/server","yes","supabase","","inline getUser()","","","","try/catch","","reviewed-route-matrix",""
"app/api/auth/mfa/verify/route.ts","api-route","worker/server","yes","supabase","","inline getUser()","","","","try/catch","","reviewed-route-matrix",""
"app/api/auth/onboarding/route.ts","api-route","worker/server","yes","supabase","","inline getUser()","","","","","","reviewed-route-matrix",""
"app/api/auth/passkey/_lib.ts","other","shared","","","NODE_ENV WEBAUTHN_RP_ID WEBAUTHN_ORIGIN","","","","","","","reviewed",""
"app/api/auth/passkey/options/route.ts","api-route","worker/server","yes","supabase","","","service-role","","","try/catch","","reviewed-route-matrix",""
"app/api/auth/passkey/register-options/route.ts","api-route","worker/server","yes","supabase","","inline getUser()","","","","try/catch","","reviewed-route-matrix",""
"app/api/auth/passkey/register/route.ts","api-route","worker/server","yes","supabase","","inline getUser()","","","","try/catch","","reviewed-route-matrix",""
"app/api/auth/passkey/status/route.ts","api-route","worker/server","yes","supabase","","","service-role","","","try/catch","","reviewed-route-matrix",""
"app/api/auth/passkey/verify/route.ts","api-route","worker/server","yes","supabase","","","service-role","","","try/catch","","reviewed-route-matrix",""
"app/api/auth/password/cleanup/route.ts","api-route","worker/server","yes","supabase","CRON_SECRET","cron-secret","service-role","","","try/catch","","reviewed-route-matrix",""
"app/api/auth/password/request-reset/route.ts","api-route","worker/server","yes","supabase","NEXT_PUBLIC_APP_URL","","","","","try/catch","","reviewed-route-matrix",""
"app/api/auth/password/reset/route.ts","api-route","worker/server","yes","supabase","","","service-role","","","try/catch","","reviewed-route-matrix",""
"app/api/auth/password/route.ts","api-route","worker/server","yes","supabase","","inline getUser()","","","","try/catch","","reviewed-route-matrix",""
"app/api/auth/sessions/route.ts","api-route","worker/server","yes","supabase","","inline getUser()","","","","try/catch","","reviewed-route-matrix",""
"app/api/auth/signin/route.ts","api-route","worker/server","yes","supabase","DEV_BYPASS_EMAILS NODE_ENV","","service-role","","","try/catch","","reviewed-route-matrix",""
"app/api/auth/signout/route.ts","api-route","worker/server","yes","supabase","","","","","","try/catch","","reviewed-route-matrix",""
"app/api/auth/signup/route.ts","api-route","worker/server","yes","supabase resend","DEV_BYPASS_EMAILS NODE_ENV","","service-role","","","try/catch","","reviewed-route-matrix",""
"app/api/auth/user/route.ts","api-route","worker/server","yes","supabase","","inline getUser()","","","","try/catch","","reviewed-route-matrix",""
"app/api/cron/push-reminders/route.ts","api-route","worker/server","yes","supabase web-push","PUSH_REMINDER_LOOKAHEAD_MINUTES PUSH_REMINDER_MAX_USERS_PER_RUN CRON_SECRET","cron-secret","service-role","","","","","reviewed-route-matrix",""
"app/api/csp-report/route.ts","api-route","worker/server","yes","","CSP_REPORT_WEBHOOK","","","","","try/catch","","reviewed-route-matrix",""
"app/api/deadlines/[id]/route.ts","api-route","worker/server","yes","supabase","","requireAuthWithRateLimit","","","","try/catch","","reviewed-route-matrix",""
"app/api/deadlines/route.ts","api-route","worker/server","yes","supabase","","requireAuthWithRateLimit","","","","try/catch","","reviewed-route-matrix",""
"app/api/events/[id]/route.ts","api-route","worker/server","yes","supabase","","requireAuthWithRateLimit","","","","try/catch","","reviewed-route-matrix",""
"app/api/events/route.ts","api-route","worker/server","yes","supabase","NODE_ENV","requireAuthWithRateLimit","","","","try/catch","","reviewed-route-matrix",""
"app/api/gamification/award-xp/route.ts","api-route","worker/server","yes","supabase","","requireAuth","","","","","","reviewed-route-matrix",""
"app/api/gamification/route.ts","api-route","worker/server","yes","supabase","","requireAuth","","","","","","reviewed-route-matrix",""
"app/api/health/route.ts","api-route","worker/server","yes","supabase","NODE_ENV","","service-role","","","try/catch","","reviewed-route-matrix",""
"app/api/maps/dev-pin/route.ts","api-route","worker/server","yes","","NODE_ENV","","","","","try/catch","","reviewed-route-matrix",""
"app/api/maps/place-details/route.ts","api-route","worker/server","yes","google","GOOGLE_ROUTES_API_KEY","","","","yes","try/catch","","reviewed-route-matrix",""
"app/api/maps/place-search/route.ts","api-route","worker/server","yes","google","GOOGLE_ROUTES_API_KEY","","","","yes","try/catch","","reviewed-route-matrix",""
"app/api/maps/routes/route.ts","api-route","worker/server","yes","google","GOOGLE_ROUTES_API_KEY","","","","yes","try/catch","","reviewed-route-matrix",""
"app/api/navigate/route.ts","api-route","worker/server","yes","","ORS_API_KEY ORS_BASE_URL NODE_ENV GEOFENCE_BUFFER_KM","requireAuth","","","yes","try/catch","","reviewed-route-matrix",""
"app/api/notifications/[id]/route.ts","api-route","worker/server","yes","supabase","","requireAuthWithRateLimit","","","","try/catch","","reviewed-route-matrix",""
"app/api/notifications/mark-all-read/route.ts","api-route","worker/server","yes","supabase","","requireAuthWithRateLimit","","","","try/catch","","reviewed-route-matrix",""
"app/api/notifications/route.ts","api-route","worker/server","yes","supabase","","requireAuthWithRateLimit","","","","try/catch","","reviewed-route-matrix",""
"app/api/profiles/route.ts","api-route","worker/server","yes","supabase","","requireAuthWithRateLimit","","","","try/catch","","reviewed-route-matrix",""
"app/api/push/subscription/route.ts","api-route","worker/server","yes","supabase","","requireAuthWithRateLimit","service-role","","","try/catch","","reviewed-route-matrix",""
"app/api/security/check-password-breach/route.ts","api-route","worker/server","yes","","","requireAuth","","","","try/catch","","reviewed-route-matrix",""
"app/api/security/rate-limit/cleanup/route.ts","api-route","worker/server","yes","supabase","CRON_SECRET","cron-secret","service-role","","","try/catch","","reviewed-route-matrix",""
"app/api/security/scan-headers/route.ts","api-route","worker/server","yes","supabase","","inline getUser()","","","","try/catch","","reviewed-route-matrix",""
"app/api/sync/route.ts","api-route","worker/server","yes","supabase","","inline getUser()","","","","try/catch","","reviewed-route-matrix",""
"app/api/todos/[id]/route.ts","api-route","worker/server","yes","supabase","","requireAuthWithRateLimit","","","","try/catch","","reviewed-route-matrix",""
"app/api/todos/route.ts","api-route","worker/server","yes","supabase","","requireAuthWithRateLimit","","","","try/catch","","reviewed-route-matrix",""
"app/api/types.ts","other","shared","","","","","","","","try/catch","","reviewed",""
"app/api/units/[id]/route.ts","api-route","worker/server","yes","supabase","","requireAuthWithRateLimit","","","","try/catch","","reviewed-route-matrix",""
"app/api/units/route.ts","api-route","worker/server","yes","supabase","","requireAuthWithRateLimit","","","","try/catch","","reviewed-route-matrix",""
"app/api/units/sync/route.ts","api-route","worker/server","yes","supabase","","requireAuthWithRateLimit","","","","try/catch","","reviewed-route-matrix",""
"app/api/user-preferences/route.ts","api-route","worker/server","yes","supabase","","requireAuthWithRateLimit","","","","try/catch","","reviewed-route-matrix",""
"app/api/weather/route.ts","api-route","worker/server","yes","weather","GOOGLE_WEATHER_API_KEY","","","","","try/catch","","reviewed-route-matrix",""
"app/api/webauthn/authenticate/options/route.ts","api-route","worker/server","yes","supabase","","","service-role","","","try/catch","","reviewed-route-matrix",""
"app/api/webauthn/authenticate/verify/route.ts","api-route","worker/server","yes","supabase","","","service-role","","","try/catch","","reviewed-route-matrix",""
"app/api/webauthn/credentials/route.ts","api-route","worker/server","yes","supabase","","inline getUser()","","","","try/catch","","reviewed-route-matrix",""
"app/api/webauthn/register/options/route.ts","api-route","worker/server","yes","supabase","","inline getUser()","","","","try/catch","","reviewed-route-matrix",""
"app/api/webauthn/register/verify/route.ts","api-route","worker/server","yes","supabase","","inline getUser()","","","","try/catch","","reviewed-route-matrix",""
"app/auth/callback/recovery/route.ts","route-handler","worker/server","yes","supabase","","","","","","","","reviewed",""
"app/auth/callback/route.ts","route-handler","worker/server","yes","supabase","","","","","","try/catch","","reviewed",""
"app/auth/confirm/route.ts","route-handler","worker/server","yes","supabase","","","","","","","","reviewed",""
"app/calendar/CalendarClient.tsx","other","client","","","","","","","","try/catch","","reviewed",""
"app/calendar/error.tsx","other","client","","","","","","","","","","reviewed",""
"app/calendar/page.tsx","page","server(RSC)","yes","","","","","","","","","reviewed",""
"app/client-layout.tsx","layout","client","","supabase","","","","","yes","try/catch","","reviewed",""
"app/contact/contact-client.tsx","other","client","","","","","","","","","","reviewed",""
"app/contact/page.tsx","page","server(RSC)","yes","","","","","","","","","reviewed",""
"app/error.tsx","other","client","","","","","","","","","","reviewed",""
"app/feed/FeedClient.tsx","other","client","","","","","","","","","","reviewed",""
"app/feed/error.tsx","other","client","","","","","","","","","","reviewed",""
"app/feed/page.tsx","page","server(RSC)","yes","","","","","","","","","reviewed",""
"app/global-error.tsx","other","client","","sentry","","","","","","","","reviewed",""
"app/home/HomeClient.tsx","other","client","","","","","","","","","","reviewed",""
"app/home/loading.tsx","other","shared","","","","","","","","","","reviewed",""
"app/home/page.tsx","page","server(RSC)","yes","supabase","","inline getUser()","","","","try/catch","","reviewed",""
"app/layout.tsx","layout","shared","","","","","","","","","","reviewed",""
"app/loading.tsx","other","shared","","","","","","","","","","reviewed",""
"app/login/LoginClient.tsx","other","client","","supabase resend","","","","","yes","try/catch","","reviewed",""
"app/login/__tests__/actions.test.ts","other","shared","","supabase","","","","","","","","reviewed",""
"app/login/actions.ts","other","shared","","supabase resend","","","service-role","","","try/catch","","reviewed",""
"app/login/components/MFAChallenge.tsx","other","client","","supabase resend","","","","","yes","try/catch","","reviewed",""
"app/login/hooks/usePasskeyLogin.ts","other","shared","","","","","","","","try/catch","","reviewed",""
"app/login/page.tsx","page","server(RSC)","yes","","","","","","","","","reviewed",""
"app/login/schemas/loginSchema.ts","other","shared","","","","","","","","","","reviewed",""
"app/manage-profiles/__tests__/actions.test.ts","other","shared","","","","","","","","","","reviewed",""
"app/manage-profiles/actions.ts","other","shared","","","","","","","","try/catch","","reviewed",""
"app/manage-profiles/components/AcademicInfoCard.tsx","other","client","","","","","","","","","","reviewed",""
"app/manage-profiles/components/PersonalInfoCard.tsx","other","client","","","","","","","","","","reviewed",""
"app/manage-profiles/components/ProfileHeader.tsx","other","client","","","","","","","","try/catch","","reviewed",""
"app/manage-profiles/components/ProfileSkeleton.tsx","other","client","","","","","","","","","","reviewed",""
"app/manage-profiles/components/SecurityCard.tsx","other","client","","","","","","","","","","reviewed",""
"app/manage-profiles/error.tsx","other","client","","sentry","","","","","","","","reviewed",""
"app/manage-profiles/hooks/useProfileManager.ts","other","shared","","","","","","","","try/catch","","reviewed",""
"app/manage-profiles/layout.tsx","layout","shared","","","","","","","","","","reviewed",""
"app/manage-profiles/page.tsx","page","client","yes","","","","","","","","","reviewed",""
"app/manage-profiles/schema.ts","other","shared","","","","","","","","","","reviewed",""
"app/map/error.tsx","other","client","","","","","","","","","","reviewed",""
"app/map/page.tsx","page","server(RSC)","yes","","","","","","","","","reviewed",""
"app/map/position-editor/page.tsx","page","client","yes","","","","","","","","","reviewed",""
"app/not-found.tsx","other","client","","","","","","","","","","reviewed",""
"app/offline/page.tsx","page","client","yes","","","","","","","","","reviewed",""
"app/onboarding/OnboardingClient.tsx","other","client","","","","","","","","try/catch","","reviewed",""
"app/onboarding/page.tsx","page","server(RSC)","yes","","","","","","","","","reviewed",""
"app/page.tsx","page","server(RSC)","yes","","","","","","","","","reviewed",""
"app/privacy/page.tsx","page","server(RSC)","yes","","","","","","","","","reviewed",""
"app/privacy/privacy-client.tsx","other","client","","","","","","","","","","reviewed",""
"app/reset-password/page.tsx","page","server(RSC)","yes","","","","","","","","","reviewed",""
"app/reset-password/reset-password-client.tsx","other","client","","supabase","","","","","yes","try/catch","","reviewed",""
"app/robots.ts","other","shared","","supabase","","","","","","","","reviewed",""
"app/settings/about/AboutSettingsContent.tsx","other","client","","","","","","","","","","reviewed",""
"app/settings/about/page.tsx","page","server(RSC)","yes","","","","","","","","","reviewed",""
"app/settings/appearance/AppearanceSettingsContent.tsx","other","client","","","","","","","","","","reviewed",""
"app/settings/appearance/page.tsx","page","server(RSC)","yes","","","","","","","","","reviewed",""
"app/settings/experience/ExperienceSettingsContent.tsx","other","client","","","","","","","","","","reviewed",""
"app/settings/experience/page.tsx","page","server(RSC)","yes","","","","","","","","","reviewed",""
"app/settings/general/GeneralSettingsContent.tsx","other","client","","","","","","","","","","reviewed",""
"app/settings/general/page.tsx","page","server(RSC)","yes","","","","","","","","","reviewed",""
"app/settings/layout.tsx","layout","client","","","","","","","","","","reviewed",""
"app/settings/loading.tsx","other","shared","","","","","","","","","","reviewed",""
"app/settings/page.tsx","page","server(RSC)","yes","","","","","","","","","reviewed",""
"app/settings/security/PrivacySettingsPage.tsx","other","client","","","","","","","","","","reviewed",""
"app/settings/security/page.tsx","page","server(RSC)","yes","","","","","","","","","reviewed",""
"app/signup/SignupClient.tsx","other","client","","supabase","","","","","yes","try/catch","","reviewed",""
"app/signup/components/CourseCombobox.tsx","other","client","","","","","","","yes","","","reviewed",""
"app/signup/components/FacultySelect.tsx","other","client","","","","","","","","","","reviewed",""
"app/signup/page.tsx","page","server(RSC)","yes","","","","","","","","","reviewed",""
"app/sitemap.ts","other","shared","","","","","","","","","","reviewed",""
"app/template.tsx","other","shared","","","","","","","","","","reviewed",""
"app/terms/page.tsx","page","server(RSC)","yes","","","","","","","","","reviewed",""
"app/terms/terms-client.tsx","other","client","","","","","","","","","","reviewed",""
"app/verify/page.tsx","page","client","yes","resend","","","","","","try/catch","","reviewed",""
"components/ErrorBoundary.tsx","component","client","","sentry","NODE_ENV","","","","yes","try/catch","","reviewed",""
"components/ProfileCard.tsx","component","client","","","","","","","","","","reviewed",""
"components/assignments/AssignmentDetailPanel.tsx","component","client","","","","","","","","","","reviewed",""
"components/assignments/AssignmentForm.tsx","component","client","","","","","","","","try/catch","","reviewed",""
"components/deadlines/DeadlineForm.tsx","component","client","","","","","","","","try/catch","","reviewed",""
"components/events/EventDetailPanel.tsx","component","client","","","","","","","","","","reviewed",""
"components/events/EventForm.tsx","component","client","","","","","","","","try/catch","","reviewed",""
"components/events/EventFormSkeleton.tsx","component","client","","","","","","","","","","reviewed",""
"components/exams/ExamDetailPanel.tsx","component","client","","","","","","","","","","reviewed",""
"components/exams/ExamForm.tsx","component","client","","","","","","","","try/catch","","reviewed",""
"components/layout/AppFooter.tsx","component","client","","","","","","","","","","reviewed",""
"components/layout/Clock.tsx","component","client","","","","","","","","","","reviewed",""
"components/layout/Header.tsx","component","client","","supabase weather","","inline getUser()","","","","try/catch","","reviewed",""
"components/layout/HeaderLanguageSelector.tsx","component","client","","","","","","","","","","reviewed",""
"components/layout/Sidebar.tsx","component","client","","","","","","","","","","reviewed",""
"components/layout/SocialButtons.tsx","component","client","","","","","","","","","","reviewed",""
"components/layout/StandaloneLanguageSelector.tsx","component","client","","","","","","","","","","reviewed",""
"components/layout/WeatherWidget.tsx","component","client","","weather","","","","","","","","reviewed",""
"components/layout/weather/constants.ts","component","shared","","weather","","","","","","","","reviewed",""
"components/layout/weather/types.ts","component","shared","","weather","","","","","","","","reviewed",""
"components/layout/weather/useWeather.ts","component","shared","","weather","","","","","yes","try/catch","","reviewed",""
"components/providers/QueryProvider.tsx","component","client","","","","","","","","","","reviewed",""
"components/security/PasswordStrengthIndicator.tsx","component","client","","","","","","","yes","try/catch","","reviewed",""
"components/sync/SyncConflictDialog.tsx","component","client","","","","","","","","","","reviewed",""
"components/theme/ThemeProvider.tsx","component","client","","","","","","","","","","reviewed",""
"components/ui/BuildingAutocomplete.tsx","component","client","","","","","","","","","","reviewed",""
"components/ui/EmptyState.tsx","component","client","","","","","","","","","","reviewed",""
"components/ui/KeyboardShortcuts.tsx","component","client","","","","","","","","","","reviewed",""
"components/ui/LiquidFilter.tsx","component","client","","","","","","","","","","reviewed",""
"components/ui/LiquidGlassCard.tsx","component","client","","","","","","","","","","reviewed",""
"components/ui/LiquidRefractionMap.tsx","component","client","","","","","","","","","","reviewed",""
"components/ui/LoadingPlaceholder.tsx","component","client","","","","","","","","","","reviewed",""
"components/ui/MagicCard.tsx","component","client","","","","","","","","","","reviewed",""
"components/ui/MeshGradient.tsx","component","client","","","","","","","","","","reviewed",""
"components/ui/MovingMeshBackground.tsx","component","client","","","","","","","","","","reviewed",""
"components/ui/NavigationPreferenceDialog.tsx","component","client","","","","","","","","","","reviewed",""
"components/ui/OfflineIndicator.tsx","component","client","","","","","","","yes","","","reviewed",""
"components/ui/ReminderModal.tsx","component","client","","","","","","","","try/catch","","reviewed",""
"components/ui/ScrollReveal.tsx","component","client","","","","","","","","","","reviewed",""
"components/ui/SkipLink.tsx","component","client","","","","","","","","","","reviewed",""
"components/ui/UnitAutocomplete.tsx","component","client","","","","","","","","","","reviewed",""
"components/ui/badge.tsx","component","shared","","","","","","","","","","reviewed",""
"components/ui/button.tsx","component","shared","","","","","","","","","","reviewed",""
"components/ui/card.tsx","component","shared","","","","","","","","","","reviewed",""
"components/ui/custom/PasswordInput.tsx","component","shared","","","","","","","","","","reviewed",""
"components/ui/custom/StrengthMeter.tsx","component","shared","","","","","","","","","","reviewed",""
"components/ui/dialog.tsx","component","client","","","","","","","","","","reviewed",""
"components/ui/dropdown-menu.tsx","component","client","","","","","","","","","","reviewed",""
"components/ui/icons.tsx","component","shared","","","","","","","","","","reviewed",""
"components/ui/input.tsx","component","shared","","","","","","","","","","reviewed",""
"components/ui/label.tsx","component","shared","","","","","","","","","","reviewed",""
"components/ui/mq/alert.tsx","component","shared","","","","","","","","","","reviewed",""
"components/ui/mq/animations.tsx","component","shared","","","","","","","","","","reviewed",""
"components/ui/mq/badge.tsx","component","shared","","","","","","","","","","reviewed",""
"components/ui/mq/button.tsx","component","shared","","","","","","","","","","reviewed",""
"components/ui/mq/card.tsx","component","shared","","","","","","","","","","reviewed",""
"components/ui/mq/hero.tsx","component","shared","","","","","","","","","","reviewed",""
"components/ui/mq/index.ts","component","shared","","","","","","","","","","reviewed",""
"components/ui/mq/input.tsx","component","shared","","","","","","","","","","reviewed",""
"components/ui/mq/link.tsx","component","shared","","","","","","","","","","reviewed",""
"components/ui/mq/navbar.tsx","component","client","","","","","","","","","","reviewed",""
"components/ui/mq/section-heading.tsx","component","shared","","","","","","","","","","reviewed",""
"components/ui/mq/switch.tsx","component","client","","","","","","","","","","reviewed",""
"components/ui/select.tsx","component","client","","","","","","","","","","reviewed",""
"components/ui/skeleton.tsx","component","client","","","","","","","","","","reviewed",""
"components/ui/toast.tsx","component","shared","","","","","","","","","","reviewed",""
"components/ui/toaster.tsx","component","client","","","","","","","","","","reviewed",""
"components/units/UnitCard.tsx","component","client","","","","","","","","","","reviewed",""
"components/units/UnitDetailPanel.tsx","component","client","","","","","","","","","","reviewed",""
"components/units/UnitForm.tsx","component","client","","","","","","","","","","reviewed",""
"config/eslint/eslint.config.mjs","config","build-time","","","","","","","","","","reviewed",""
"config/next/next.config.ts","config","build-time","","supabase sentry","ANALYZE NODE_ENV NEXT_PUBLIC_SENTRY_DSN SENTRY_ORG SENTRY_PROJECT CI SENTRY_AUTH_TOKEN","","","","","","","reviewed",""
"config/postcss/postcss.config.mjs","config","build-time","","","","","","","","","","reviewed",""
"config/sentry/sentry.client.config.ts","config","build-time","","resend sentry","NEXT_PUBLIC_SENTRY_DSN NODE_ENV NEXT_PUBLIC_SENTRY_ENABLED NEXT_PUBLIC_DEPLOYMENT_ENV NEXT_PUBLIC_VERCEL_ENV","","","","","","","reviewed",""
"config/sentry/sentry.edge.config.ts","config","build-time","","sentry","NEXT_PUBLIC_SENTRY_DSN SENTRY_ENABLED","","","","","","","reviewed",""
"config/sentry/sentry.server.config.ts","config","build-time","","resend sentry","NEXT_PUBLIC_SENTRY_DSN SENTRY_ENABLED","","","","","","","reviewed",""
"config/tailwind/tailwind.config.ts","config","build-time","","","","","","","","","","reviewed",""
"config/vitest/vitest.config.ts","config","build-time","","sentry","","","","","","","","reviewed",""
"custom-worker.ts","worker-entry","worker/server","","","","cron-secret","","","","","","reviewed",""
"features/auth/components/FingerprintButton.tsx","feature","client","","","","","","","yes","","","reviewed",""
"features/auth/index.ts","feature","shared","","","","","","","","","","reviewed",""
"features/calendar/components/AgendaView.tsx","feature","client","","","","","","","","","","reviewed",""
"features/calendar/components/CalendarSidebar.tsx","feature","client","","","","","","","","","","reviewed",""
"features/calendar/components/CalendarWidgets.tsx","feature","client","","","","","","","yes","","","reviewed",""
"features/calendar/components/DayView.tsx","feature","client","","","","","","","","","","reviewed",""
"features/calendar/components/FilterPanel.tsx","feature","client","","","","","","","","","","reviewed",""
"features/calendar/components/ItemActionButtons.tsx","feature","client","","","","","","","","","","reviewed",""
"features/calendar/components/ProgramLegend.tsx","feature","client","","","","","","","","","","reviewed",""
"features/calendar/components/TodoDetailPanel.tsx","feature","client","","","","","","","","","","reviewed",""
"features/calendar/components/widgets/AssignmentsWidget.tsx","feature","client","","","","","","","","","","reviewed",""
"features/calendar/components/widgets/EventsWidget.tsx","feature","client","","","","","","","","","","reviewed",""
"features/calendar/components/widgets/ExamsWidget.tsx","feature","client","","","","","","","","","","reviewed",""
"features/calendar/components/widgets/TodosWidget.tsx","feature","client","","","","","","","","","","reviewed",""
"features/calendar/components/widgets/UnitsWidget.tsx","feature","client","","","","","","","","","","reviewed",""
"features/calendar/hooks/index.ts","feature","shared","","","","","","","","","","reviewed",""
"features/calendar/hooks/useCalendarData.ts","feature","shared","","supabase","","","","","","","","reviewed",""
"features/calendar/hooks/useCalendarDialogs.ts","feature","shared","","","","","","","","","","reviewed",""
"features/calendar/hooks/useCalendarFiltering.ts","feature","shared","","","","","","","","","","reviewed",""
"features/calendar/hooks/useCalendarGetters.ts","feature","shared","","","","","","","","","","reviewed",""
"features/calendar/hooks/useCalendarHighlights.ts","feature","shared","","","","","","","yes","","","reviewed",""
"features/calendar/hooks/useCalendarView.ts","feature","shared","","","","","","","yes","","","reviewed",""
"features/calendar/hooks/useLiveCollaboration.ts","feature","client","","supabase","","","","","","","","reviewed",""
"features/calendar/hooks/usePendingCalendarIntent.ts","feature","shared","","","","","","","yes","","","reviewed",""
"features/calendar/lib/calendarIntent.ts","feature","shared","","","","","","","","","","reviewed",""
"features/feed/components/AnnouncementsSection.tsx","feature","client","","","","","","","","","","reviewed",""
"features/feed/components/EventDetailModal.tsx","feature","client","","","","","","","","","","reviewed",""
"features/feed/components/FeaturedEventsBanner.tsx","feature","client","","","","","","","","try/catch","","reviewed",""
"features/feed/components/FeedEventCard.tsx","feature","shared","","","","","","","","","","reviewed",""
"features/feed/components/FeedFilters.tsx","feature","shared","","","","","","","","","","reviewed",""
"features/feed/components/FeedSidebar.tsx","feature","client","","","","","","","","","","reviewed",""
"features/feed/components/FeedSkeletons.tsx","feature","client","","","","","","","","","","reviewed",""
"features/feed/components/PublicEventCard.tsx","feature","client","","","","","","","","","","reviewed",""
